STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
6,California,60717,1,1,0,1,1,1,1,81,SAN MATEO (81),0,NOT APPLICABLE,8,8,4,April,2016,6,Friday,7,7:00am-7:59am,10,10,0,This section IS NOT on the NHS,4,County Road,CR-MIDDLEFIELD RD,DUMBARTON AVE,1,Rural,5,Major Collector,2,County Highway Agency,0,None,37.4751,37.4751,-122.2090694,-122.20906944,0,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,1,On Roadway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,61040,1,1,0,1,1,1,1,81,SAN MATEO (81),2980,REDWOOD CITY,31,31,1,January,2016,1,Sunday,20,8:00pm-8:59pm,27,27,0,This section IS NOT on the NHS,6,Local Street - Municipality,BROADWAY ST,BEECH ST,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,37.48685556,37.48685556,-122.2211333,-122.22113333,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,2,Intersection,2,Four-Way Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,61300,1,1,0,1,1,1,1,81,SAN MATEO (81),3240,SAN CARLOS,23,23,4,April,2016,7,Saturday,22,10:00pm-10:59pm,34,34,0,This section IS NOT on the NHS,6,Local Street - Municipality,SAN CARLOS AVE,,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,37.50209444,37.50209444,-122.2748611,-122.27486111,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
6,California,61979,1,1,0,1,2,2,1,81,SAN MATEO (81),310,BELMONT,29,29,4,April,2016,6,Friday,15,3:00pm-3:59pm,39,39,0,This section IS NOT on the NHS,6,Local Street - Municipality,CARLMONT DRIVE,,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,0,None,37.50990833,37.50990833,-122.2938222,-122.29382222,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,28,Backup Due to Regular Congestion,0,None,0,None,1,0
6,California,62328,1,1,0,1,1,1,1,81,SAN MATEO (81),3390,SAN MATEO,11,11,4,April,2016,2,Monday,1,1:00am-1:59am,37,37,0,This section IS NOT on the NHS,3,State Highway,SR-35,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,253,253,37.62942222,37.62942222,-122.4518028,-122.45180278,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
6,California,62398,2,2,0,1,4,4,1,81,SAN MATEO (81),0,NOT APPLICABLE,14,14,11,November,2016,2,Monday,1,1:00am-1:59am,0,0,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,1,Interstate,1,State Highway Agency,197,197,37.63082222,37.63082222,-122.3996611,-122.39966111,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
6,California,62514,1,1,0,1,1,1,1,81,SAN MATEO (81),970,DALY CITY,15,15,9,September,2016,5,Thursday,20,8:00pm-8:59pm,53,53,0,This section IS NOT on the NHS,3,State Highway,SR-82,,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,None,37.70709722,37.70709722,-122.4575806,-122.45758056,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,62595,1,1,0,1,1,1,1,81,SAN MATEO (81),3730,SOUTH SAN FRANCISCO,25,25,9,September,2016,1,Sunday,23,11:00pm-11:59pm,31,31,0,This section IS NOT on the NHS,6,Local Street - Municipality,W FIELD RD,,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,0,None,37.62255,37.62255,-122.3960056,-122.39600556,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,62641,1,1,0,1,1,1,1,81,SAN MATEO (81),970,DALY CITY,6,6,10,October,2016,5,Thursday,10,10:00am-10:59am,44,44,0,This section IS NOT on the NHS,6,Local Street - Municipality,CALLAN BL,SOUTHGATE AVE,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,37.67572222,37.67572222,-122.4718472,-122.47184722,0,No Special Jurisdiction,15,Non-Motorist on Personal Conveyance,0,Not a Collision with Motor Vehicle In-Transport,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,62661,1,1,0,1,1,1,1,81,SAN MATEO (81),2170,MILLBRAE,15,15,10,October,2016,7,Saturday,19,7:00pm-7:59pm,8,8,0,This section IS NOT on the NHS,6,Local Street - Municipality,ROLLINS RD,ADRIAN RD,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,37.59943333,37.59943333,-122.3829361,-122.38293611,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,1,On Roadway,3,Dark - Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
