STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS,DRUNK_DR
6,California,60106,1,1,0,1,1,1,1,81,SAN MATEO (81),3730,SOUTH SAN FRANCISCO,16,16,1,January,2020,5,Thursday,19,7:00pm-7:59pm,47,47,1,This section IS ON the NHS,3,State Highway,SR-82,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,207,207,37.64441667,37.64441667,-122.4479139,-122.44791389,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
6,California,60286,2,2,0,1,2,2,1,81,SAN MATEO (81),3390,SAN MATEO,19,19,1,January,2020,1,Sunday,1,1:00am-1:59am,48,48,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,128,128,37.56635556,37.56635556,-122.3092917,-122.30929167,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,1
6,California,60347,1,1,0,1,1,1,1,81,SAN MATEO (81),3390,SAN MATEO,21,21,2,February,2020,6,Friday,2,2:00am-2:59am,0,0,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,131,131,37.57561667,37.57561667,-122.3193167,-122.31931667,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
6,California,60409,3,3,0,1,5,5,1,81,SAN MATEO (81),3730,SOUTH SAN FRANCISCO,9,9,2,February,2020,1,Sunday,21,9:00pm-9:59pm,35,35,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,211,211,37.64163889,37.64163889,-122.4058278,-122.40582778,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
6,California,60547,1,1,0,1,4,4,1,81,SAN MATEO (81),2625,PACIFICA,23,23,1,January,2020,5,Thursday,14,2:00pm-2:59pm,10,10,1,This section IS ON the NHS,3,State Highway,SR-1 CABRILLO HWY,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,430,430,37.61924167,37.61924167,-122.4850694,-122.48506944,0,No Special Jurisdiction,9,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
6,California,61103,1,1,0,1,1,1,1,81,SAN MATEO (81),3390,SAN MATEO,3,3,5,May,2020,1,Sunday,5,5:00am-5:59am,4,4,0,This section IS NOT on the NHS,9,Unknown,S DELAWARE ST,,2,Urban,4,Minor Arterial,98,Not Reported,0,None,37.56348611,37.56348611,-122.3160778,-122.31607778,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
6,California,62461,1,1,0,1,1,1,1,81,SAN MATEO (81),3220,SAN BRUNO,10,10,7,July,2020,6,Friday,23,11:00pm-11:59pm,40,40,1,This section IS ON the NHS,3,State Highway,SR-82,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,192,192,37.63629722,37.63629722,-122.4211611,-122.42116111,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
6,California,62552,1,1,0,1,2,2,1,81,SAN MATEO (81),1065,EAST PALO ALTO,14,14,2,February,2020,6,Friday,21,9:00pm-9:59pm,7,7,1,This section IS ON the NHS,9,Unknown,EAST BAYSHORE RD,OAKWOOD DR,2,Urban,5,Major Collector,98,Not Reported,0,None,37.46483333,37.46483333,-122.1477806,-122.14778056,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
6,California,62553,1,1,0,1,1,1,1,81,SAN MATEO (81),1065,EAST PALO ALTO,21,21,2,February,2020,6,Friday,18,6:00pm-6:59pm,35,35,0,This section IS NOT on the NHS,9,Unknown,FORDHAM ST,PURDUE AVE,2,Urban,7,Local,98,Not Reported,0,None,37.47794167,37.47794167,-122.1370333,-122.13703333,0,No Special Jurisdiction,15,Non-Motorist on Personal Conveyance,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
6,California,62572,1,1,0,1,2,2,1,81,SAN MATEO (81),0,NOT APPLICABLE,15,15,8,August,2020,7,Saturday,9,9:00am-9:59am,20,20,0,This section IS NOT on the NHS,9,Unknown,KINGS MOUNTAIN RD,,1,Rural,7,Local,98,Not Reported,0,None,37.43250278,37.43250278,-122.2957417,-122.29574167,0,No Special Jurisdiction,9,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
