STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
6,California,60119,4,4,0,0,4,4,0,81,SAN MATEO (81),2980,REDWOOD CITY,29,29,1,January,2018,2,Monday,1,1:00am-1:59am,48,48,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,60,60,37.49261667,37.49261667,-122.2214111,-122.22141111,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle",0,None,0,None,1,1
6,California,60120,1,1,0,0,1,1,0,81,SAN MATEO (81),0,NOT APPLICABLE,30,30,1,January,2018,3,Tuesday,99,Unknown Hours,99,Unknown Minutes,0,This section IS NOT on the NHS,9,Unknown,PESCADERO CREEK RD,,1,Rural,5,Major Collector,98,Not Reported,0,None,37.25485,37.25485,-122.3659972,-122.36599722,0,No Special Jurisdiction,38,Fence,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
6,California,60478,1,1,0,0,1,1,0,81,SAN MATEO (81),0,NOT APPLICABLE,20,20,1,January,2018,7,Saturday,99,Unknown Hours,99,Unknown Minutes,0,This section IS NOT on the NHS,3,State Highway,SR-1 CABRILLO HWY,,1,Rural,4,Minor Arterial,1,State Highway Agency,196,196,37.3406,37.3406,-122.3949556,-122.39495556,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
6,California,60699,1,1,0,1,1,1,1,81,SAN MATEO (81),3240,SAN CARLOS,2,2,4,April,2018,2,Monday,9,9:00am-9:59am,27,27,0,This section IS NOT on the NHS,6,Local Street - Municipality,INDUSTRIAL RD,EAST SAN CARLOS AVE,2,Urban,6,Minor Collector,98,Not Reported,0,None,37.51054722,37.51054722,-122.2558333,-122.25583333,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,60831,1,1,0,0,2,2,0,81,SAN MATEO (81),0,NOT APPLICABLE,23,23,3,March,2018,6,Friday,21,9:00pm-9:59pm,13,13,0,This section IS NOT on the NHS,9,Unknown,TUNITAS CREEK RD,,2,Urban,7,Local,98,Not Reported,0,None,37.4166,37.4166,-122.3502,-122.3502,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,4,No or Obscured Pavement Marking,0,None,0,None,1,0
6,California,61046,2,2,0,0,4,4,0,81,SAN MATEO (81),0,NOT APPLICABLE,30,30,6,June,2018,7,Saturday,13,1:00pm-1:59pm,15,15,0,This section IS NOT on the NHS,3,State Highway,SR-84 LA HONDA RD,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,99,99,37.33293889,37.33293889,-122.2713139,-122.27131389,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,61180,2,2,0,0,3,3,0,81,SAN MATEO (81),0,NOT APPLICABLE,5,5,5,May,2018,7,Saturday,20,8:00pm-8:59pm,40,40,1,This section IS ON the NHS,3,State Highway,SR-1 CABRILLO HWY,,1,Rural,4,Minor Arterial,1,State Highway Agency,98,98,37.11135278,37.11135278,-122.2965833,-122.29658333,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
6,California,61212,1,1,0,1,1,1,1,81,SAN MATEO (81),3730,SOUTH SAN FRANCISCO,1,1,2,February,2018,5,Thursday,6,6:00am-6:59am,18,18,1,This section IS ON the NHS,3,State Highway,SR-82,NOOR AVE,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,None,37.64048333,37.64048333,-122.4236083,-122.42360833,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
6,California,61246,1,1,0,1,1,1,1,81,SAN MATEO (81),3240,SAN CARLOS,8,8,2,February,2018,5,Thursday,18,6:00pm-6:59pm,35,35,0,This section IS NOT on the NHS,6,Local Street - Municipality,OLD COUNTY RD,,2,Urban,7,Local,98,Not Reported,0,None,37.51675833,37.51675833,-122.2701167,-122.27011667,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
6,California,61319,2,2,0,0,3,3,0,81,SAN MATEO (81),0,NOT APPLICABLE,22,22,6,June,2018,6,Friday,16,4:00pm-4:59pm,40,40,0,This section IS NOT on the NHS,9,Unknown,PESCADERO CREEK RD,,1,Rural,7,Local,98,Not Reported,0,None,37.26726944,37.26726944,-122.3227194,-122.32271944,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle",0,None,0,None,1,0
