STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS,DRUNK_DR
6,California,60057,1,1,0,0,1,1,0,81,SAN MATEO (81),0,NOT APPLICABLE,21,21,1,January,2020,3,Tuesday,13,1:00pm-1:59pm,50,50,1,This section IS ON the NHS,1,Interstate,I-280,,2,Urban,1,Interstate,1,State Highway Agency,177,177,37.58695556,37.58695556,-122.4103417,-122.41034167,0,No Special Jurisdiction,33,Curb,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
6,California,60106,1,1,0,1,1,1,1,81,SAN MATEO (81),3730,SOUTH SAN FRANCISCO,16,16,1,January,2020,5,Thursday,19,7:00pm-7:59pm,47,47,1,This section IS ON the NHS,3,State Highway,SR-82,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,207,207,37.64441667,37.64441667,-122.4479139,-122.44791389,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
6,California,60147,1,1,0,0,3,3,0,81,SAN MATEO (81),3390,SAN MATEO,23,23,1,January,2020,5,Thursday,4,4:00am-4:59am,17,17,1,This section IS ON the NHS,2,U.S. Highway,US-101,AIRPORT BLVD,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,148,148,37.58629167,37.58629167,-122.3296611,-122.32966111,0,No Special Jurisdiction,39,Wall,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,4,On Roadside,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,4,4:00am-4:59am,34,34,5,5:00am-5:59am,6,6,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
6,California,60286,2,2,0,1,2,2,1,81,SAN MATEO (81),3390,SAN MATEO,19,19,1,January,2020,1,Sunday,1,1:00am-1:59am,48,48,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,128,128,37.56635556,37.56635556,-122.3092917,-122.30929167,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,1
6,California,60347,1,1,0,1,1,1,1,81,SAN MATEO (81),3390,SAN MATEO,21,21,2,February,2020,6,Friday,2,2:00am-2:59am,0,0,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,131,131,37.57561667,37.57561667,-122.3193167,-122.31931667,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
6,California,60395,1,1,0,0,2,2,0,81,SAN MATEO (81),2980,REDWOOD CITY,23,23,2,February,2020,1,Sunday,3,3:00am-3:59am,15,15,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,69,69,37.49783333,37.49783333,-122.2378361,-122.23783611,0,No Special Jurisdiction,35,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Yes,19,Other location within Interchange Area,1,Not an Intersection,0,None,8,Gore,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,1
6,California,60409,3,3,0,1,5,5,1,81,SAN MATEO (81),3730,SOUTH SAN FRANCISCO,9,9,2,February,2020,1,Sunday,21,9:00pm-9:59pm,35,35,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,211,211,37.64163889,37.64163889,-122.4058278,-122.40582778,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
6,California,60493,1,1,0,0,1,1,0,81,SAN MATEO (81),3730,SOUTH SAN FRANCISCO,19,19,4,April,2020,1,Sunday,13,1:00pm-1:59pm,15,15,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,210,210,37.63985278,37.63985278,-122.4059028,-122.40590278,0,No Special Jurisdiction,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
6,California,60509,1,1,0,0,1,1,0,81,SAN MATEO (81),490,BURLINGAME,15,15,2,February,2020,7,Saturday,5,5:00am-5:59am,35,35,1,This section IS ON the NHS,2,U.S. Highway,US-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,166,166,37.58953611,37.58953611,-122.3606278,-122.36062778,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,Construction,4,On Roadside,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
6,California,60547,1,1,0,1,4,4,1,81,SAN MATEO (81),2625,PACIFICA,23,23,1,January,2020,5,Thursday,14,2:00pm-2:59pm,10,10,1,This section IS ON the NHS,3,State Highway,SR-1 CABRILLO HWY,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,430,430,37.61924167,37.61924167,-122.4850694,-122.48506944,0,No Special Jurisdiction,9,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
